iter	MAE
0	9.961684921
1	9.803948177
2	9.736497385
3	9.658021264
4	9.501100522
5	9.397429348
6	9.279126485
7	9.194936614
8	9.087129648
9	8.891876298
10	8.82905782
11	8.733386673
12	8.672182292
13	8.624343055
14	8.453754494
15	8.377003262
16	8.307198188
17	8.282795725
18	8.215789399
19	8.125075565
20	8.099910014
21	8.072487053
22	7.936902667
23	7.926936573
24	7.811646737
25	7.77761304
26	7.657198278
27	7.630410604
28	7.592503631
29	7.577334083
30	7.485876596
31	7.432410491
32	7.40351946
33	7.345656258
34	7.323521661
35	7.308676234
36	7.236416566
37	7.2080772
38	7.154789393
39	7.113163192
40	7.034820544
41	6.960528368
42	6.915269018
43	6.87453267
44	6.855364869
45	6.801464525
46	6.787528089
47	6.77606413
48	6.761762529
49	6.741877684
50	6.721764469
51	6.711731933
52	6.657549145
53	6.630200528
54	6.618209379
55	6.604714024
56	6.565706145
57	6.54583936
58	6.535684937
59	6.514602462
60	6.490768561
61	6.484533407
62	6.476678875
63	6.470083657
64	6.464810346
65	6.414602103
66	6.407042279
67	6.397496621
68	6.386944991
69	6.364712701
70	6.351927214
71	6.340861484
72	6.326752379
73	6.299135968
74	6.289168654
75	6.281876218
76	6.274321474
77	6.266689465
78	6.256640839
79	6.241134593
80	6.202498746
81	6.187962985
82	6.17906422
83	6.148834288
84	6.124794476
85	6.114574138
86	6.10049687
87	6.091708493
88	6.071458578
89	6.061403163
90	6.055946119
91	6.047797755
92	6.036538129
93	6.024775534
94	6.011863191
95	5.996361268
96	5.977688776
97	5.972532259
98	5.966252309
99	5.959076513
100	5.94240421
101	5.937518906
102	5.922953266
103	5.91550359
104	5.907821598
105	5.899058086
106	5.891067419
107	5.889082276
108	5.885411525
109	5.878052576
110	5.87426538
111	5.870791407
112	5.864349803
113	5.853594771
114	5.850077276
115	5.845641236
116	5.838231176
117	5.828017714
118	5.820027705
119	5.815242054
120	5.809519897
121	5.806416912
122	5.800491348
123	5.792857025
124	5.77743422
125	5.762555698
126	5.759512927
127	5.754133293
128	5.748935978
129	5.743933783
130	5.73585896
131	5.727656632
132	5.722357386
133	5.719655294
134	5.711877084
135	5.699578327
136	5.695879699
137	5.690961412
138	5.684347859
139	5.677646308
140	5.670123392
141	5.665818909
142	5.65890106
143	5.654995436
144	5.649613461
145	5.644837474
146	5.639343461
147	5.633749193
148	5.628871773
149	5.623718691
150	5.61163528
151	5.606075528
152	5.60018505
153	5.591950279
154	5.588864391
155	5.583041903
156	5.575836953
157	5.572102633
158	5.56885516
159	5.559980774
160	5.548463851
161	5.541023571
162	5.539297361
163	5.531472293
164	5.524126535
165	5.519973851
166	5.516185412
167	5.511731698
168	5.507589951
169	5.503318042
170	5.498992564
171	5.493092708
172	5.488352598
173	5.48105931
174	5.474976083
175	5.470307476
176	5.467788088
177	5.460716583
178	5.453211041
179	5.45090885
180	5.447859016
181	5.437677959
182	5.432904378
183	5.426749245
184	5.42104439
185	5.418146963
186	5.413865615
187	5.408290727
188	5.40616118
189	5.400297841
190	5.399271772
191	5.392522375
192	5.390757977
193	5.386431558
194	5.381943928
195	5.378648421
196	5.375413188
197	5.37244393
198	5.369821131
199	5.365729587
200	5.359946065
201	5.358886768
202	5.357105549
203	5.354317072
204	5.349293307
205	5.34597776
206	5.342971919
207	5.338205843
208	5.334683893
209	5.329214783
210	5.324910537
211	5.32218049
212	5.319678222
213	5.317590238
214	5.31342314
215	5.308302695
216	5.305724006
217	5.302604991
218	5.300383257
219	5.297293086
220	5.29615226
221	5.292409593
222	5.288666388
223	5.285549919
224	5.283936336
225	5.276222451
226	5.273195081
227	5.2705549
228	5.265354375
229	5.261897697
230	5.259751127
231	5.259246274
232	5.253387604
233	5.250576507
234	5.244967472
235	5.24442994
236	5.244045903
237	5.242227325
238	5.238513941
239	5.23660084
240	5.231867964
241	5.23089655
242	5.22974777
243	5.2267416
244	5.225990386
245	5.225031068
246	5.222779794
247	5.221290066
248	5.218479655
249	5.216082289
250	5.214739561
251	5.211686829
252	5.210264831
253	5.208064043
254	5.20459028
255	5.203221377
256	5.200094275
257	5.198462844
258	5.192876148
259	5.189678924
260	5.187429773
261	5.184728884
262	5.182905534
263	5.181361129
264	5.180159084
265	5.176300666
266	5.174189698
267	5.170174194
268	5.168286297
269	5.162737847
270	5.160191744
271	5.157593729
272	5.156416308
273	5.154941783
274	5.154278992
275	5.152413239
276	5.15031984
277	5.145728221
278	5.142981107
279	5.138593693
280	5.12617807
281	5.123590436
282	5.122574925
283	5.122221814
284	5.119309725
285	5.116994301
286	5.112286301
287	5.110070855
288	5.108341864
289	5.105183376
290	5.102429652
291	5.100353845
292	5.099536081
293	5.097809692
294	5.094920108
295	5.090596633
296	5.088316556
297	5.086756674
298	5.084816597
299	5.083134208
300	5.077937044
301	5.077278083
302	5.074548282
303	5.070174132
304	5.069091636
305	5.067311461
306	5.063183705
307	5.062707543
308	5.061237599
309	5.061081882
310	5.060297229
311	5.055301573
312	5.050290911
313	5.048987774
314	5.047216319
315	5.044696477
316	5.043172651
317	5.039708175
318	5.037735957
319	5.036131933
320	5.035434789
321	5.035081743
322	5.034411115
323	5.032721417
324	5.029398402
325	5.02669157
326	5.025387839
327	5.023642025
328	5.02255203
329	5.019890338
330	5.017592558
331	5.016869643
332	5.01567733
333	5.013187305
334	5.01201175
335	5.007459418
336	5.003595758
337	5.001104893
338	4.99882106
339	4.997816527
340	4.996676049
341	4.993068943
342	4.990887152
343	4.986453344
344	4.983623727
345	4.982639096
346	4.979384404
347	4.978783804
348	4.976677921
349	4.976335807
350	4.972996789
351	4.968565125
352	4.965610702
353	4.964194561
354	4.961149303
355	4.958995529
356	4.958190053
357	4.954208908
358	4.952419144
359	4.950539021
360	4.946732604
361	4.943627733
362	4.937785559
363	4.935478535
364	4.933767959
365	4.933105085
366	4.930219098
367	4.928124111
368	4.924278721
369	4.923509312
370	4.922210626
371	4.921525562
372	4.91990374
373	4.916081773
374	4.913772161
375	4.9112498
376	4.909658265
377	4.90927743
378	4.908248126
379	4.904850876
380	4.899990346
381	4.899288025
382	4.896305232
383	4.895812198
384	4.894786923
385	4.892181765
386	4.890391832
387	4.887432149
388	4.885907248
389	4.882895338
390	4.879435535
391	4.878356686
392	4.877317908
393	4.876780584
394	4.875354933
395	4.874365668
396	4.872546407
397	4.870822884
398	4.869362734
399	4.865118771
400	4.863417284
401	4.861986944
402	4.86138992
403	4.858553857
404	4.85787663
405	4.856553915
406	4.855588005
407	4.855376378
408	4.852598445
409	4.851111006
410	4.850382354
411	4.849211465
412	4.848398975
413	4.845182763
414	4.843215241
415	4.840818266
416	4.838792275
417	4.837081528
418	4.835889747
419	4.835104977
420	4.834360555
421	4.832598043
422	4.831761112
423	4.830051659
424	4.825679261
425	4.824005291
426	4.822797726
427	4.82007253
428	4.818962521
429	4.816667108
430	4.815687179
431	4.814857374
432	4.814093543
433	4.810848179
434	4.809661103
435	4.809004468
436	4.808018234
437	4.807380731
438	4.806812032
439	4.804415214
440	4.803857172
441	4.802260946
442	4.801729193
443	4.800370699
444	4.797888766
445	4.796833973
446	4.793441044
447	4.792197431
448	4.790234324
449	4.790120751
450	4.787162562
451	4.784134748
452	4.782830648
453	4.782615338
454	4.781480972
455	4.780157397
456	4.778734667
457	4.778289807
458	4.776025078
459	4.77475259
460	4.773364952
461	4.771447983
462	4.767841188
463	4.766316804
464	4.7658015
465	4.761948429
466	4.761897209
467	4.761048031
468	4.760608554
469	4.759101861
470	4.757286432
471	4.755260189
472	4.754592242
473	4.752544321
474	4.751406689
475	4.750404936
476	4.74863413
477	4.74427997
478	4.743716209
479	4.743134984
480	4.741901602
481	4.741353254
482	4.737775965
483	4.735844148
484	4.733223304
485	4.730577307
486	4.72815295
487	4.725846772
488	4.724820798
489	4.723364804
490	4.723266498
491	4.720929825
492	4.720806704
493	4.717093169
494	4.715677047
495	4.715310793
496	4.714614852
497	4.712079659
498	4.711728513
499	4.710062925
