iter	Passed	Remaining
0	2	1075
1	2	730
2	3	611
3	4	546
4	5	495
5	5	468
6	6	446
7	6	429
8	7	417
9	8	405
10	9	400
11	9	394
12	10	389
13	11	386
14	11	384
15	12	382
16	13	378
17	14	377
18	14	378
19	15	374
20	16	375
21	17	373
22	18	389
23	19	387
24	20	387
25	21	387
26	22	388
27	22	386
28	23	386
29	24	384
30	25	384
31	26	383
32	26	381
33	27	380
34	28	381
35	29	381
36	30	378
37	31	377
38	32	379
39	33	380
40	34	384
41	35	384
42	36	385
43	37	385
44	37	383
45	38	384
46	39	383
47	40	382
48	41	381
49	42	379
50	42	376
51	43	373
52	43	370
53	44	368
54	45	365
55	45	362
56	46	360
57	46	357
58	47	355
59	48	353
60	49	354
61	50	353
62	50	352
63	51	351
64	52	350
65	53	349
66	53	347
67	54	346
68	55	345
69	55	343
70	56	343
71	57	341
72	58	340
73	58	339
74	59	337
75	60	336
76	60	334
77	61	334
78	62	333
79	63	332
80	64	332
81	64	330
82	65	328
83	65	326
84	66	325
85	67	324
86	68	322
87	68	321
88	69	320
89	70	318
90	70	317
91	71	316
92	72	315
93	72	314
94	73	312
95	74	312
96	74	310
97	75	310
98	76	309
99	77	308
100	77	307
101	78	306
102	79	305
103	80	305
104	81	305
105	82	305
106	82	304
107	84	304
108	85	304
109	85	303
110	86	302
111	87	301
112	87	300
113	88	298
114	88	297
115	89	296
116	90	295
117	90	294
118	91	293
119	92	292
120	93	291
121	94	291
122	94	290
123	95	289
124	96	288
125	96	287
126	97	286
127	98	285
128	98	284
129	99	284
130	100	283
131	101	282
132	102	281
133	102	280
134	103	280
135	104	279
136	105	278
137	105	277
138	106	276
139	107	275
140	108	276
141	109	275
142	109	273
143	110	272
144	111	273
145	112	272
146	112	271
147	113	270
148	114	269
149	115	269
150	116	268
151	116	267
152	117	266
153	118	265
154	118	264
155	119	263
156	120	262
157	120	261
158	121	260
159	122	260
160	123	259
161	123	258
162	124	257
163	125	256
164	125	255
165	126	254
166	127	253
167	127	252
168	128	251
169	129	251
170	129	250
171	130	249
172	131	248
173	132	247
174	132	246
175	133	246
176	134	245
177	135	244
178	135	243
179	136	242
180	137	242
181	138	241
182	138	240
183	139	239
184	140	238
185	141	238
